Row	s_4207	Growth
YJR153W	1	1
YJR158W	1	1
YJR159W	0.999998959	1
YJR160C	1	1
YKL001C	0	0
YKL004W	0.999999821	1
YKL008C	0.999998451	1
YKL016C	0.999934327	1
YKL019W	0.999999968	1
YKL024C	0	0
YKL026C	0.999998451	1
YKL029C	1.003041868	1
YKL035W	0.999998451	1
YKL055C	0.999998922	1
YKL060C	0.774513721	1
YKL067W	0	0
YKL080W	0.999999963	1
YKL085W	1.001169289	1
YKL088W	0.999999859	1
YKL094W	0.999999963	1
YKL104C	0.999998451	1
YKL106W	0.999999963	1
YKL120W	0.999665916	1
YKL127W	0.999998463	1
YKL132C	0.999999963	1
YKL140W	1.000000433	1
YKL141W	0.99999831	1
YKL146W	1	1
YKL148C	0.999998917	1
YKL152C	0.999999773	1
YKL165C	0.999999773	1
YKL181W	0.999558488	1
YKL182W	0	0
YKL184W	0.999999963	1
YKL188C	1.004176526	1
YKL192C	0.999998495	1
YKL194C	0.999998488	1
YKL211C	0	0
YKL212W	0.999999963	1
YKL216W	0	0
YKL217W	0.999999859	1
YKR009C	1	1
YKR031C	0.999998451	1
YKR039W	1	1
YKR043C	1.000000433	1
YKR053C	1.004216957	1
YKR058W	0.999999859	1
YKR061W	1	1
YKR066C	0.999998947	1
YKR067W	0	0
YKR069W	0.999998488	1
YKR072C	0.999999963	1
YKR080W	0.999998922	1
YKR089C	0.99999831	1
YKR097W	0.999999821	1
YLL012W	1.000000433	1
YLL015W	1	1
YLL018C	0	0
YLL028W	1	1
YLL031C	0.999998451	1
YLL041C	0.99999831	1
YLL043W	1	1
YLL048C	0.999998488	1
YLL052C	1	1
YLL057C	0.999998488	1
YLL061W	1	1
YLL062C	0.999999963	1
YLR011W	1.000000886	1
YLR017W	0.999999963	1
YLR020C	0.999999859	1
YLR027C	0.996043834	1
YLR028C	0.999999785	1
YLR038C	0.472400617	1
YLR043C	0.999998451	1
YLR044C	1.013848385	1
YLR056W	0.999998922	1
YLR058C	0.999740191	1
YLR060W	0	0
YLR070C	0.999998353	1
YLR081W	1	1
YLR089C	0.999998451	1
YLR092W	1	1
YLR100W	0	0
YLR109W	0.999998451	1
YLR133W	1.000000433	1
YLR134W	0.999998451	1
YLR138W	1	1
YLR142W	0.999998451	1
YLR146C	0.999999859	1
YLR153C	1.000780509	1
YLR155C	0.99999831	1
YLR157C	0.99999831	1
YLR158C	0.99999831	1
YLR160C	0.99999831	1
YLR172C	0.999998488	1
YLR174W	1.004689208	1
YLR180W	0	0
YLR189C	0.999998488	1
YLR201C	1.000000433	1
YLR209C	0.99999831	1
YLR231C	1.000000279	1
YLR237W	1	1
YLR240W	0.999998909	1
YLR245C	0.999998451	1
YLR258W	1.000000388	1
YLR260W	0.999998347	1
YLR284C	0.999999859	1
YLR285W	0.999998488	1
YLR295C	0.999934327	1
YLR299W	0.999998488	1
YLR300W	1	1
YLR303W	0.999998488	1
YLR304C	0.997295108	1
YLR305C	0.999998347	1
YLR307W	1	1
YLR308W	1	1
YLR328W	0.999999963	1
YLR342W	0.999999859	1
YLR348C	1.000666999	1
YLR354C	1.013795777	1
YLR355C	0	0
YLR359W	0	0
YLR372W	0.999998451	1
YLR377C	0.999998451	1
YLR382C	0.999998488	1
YLR386W	0.999998922	1
YLR395C	0.472402134	1
YLR410W	0.999998451	1
YLR420W	0	0
YLR432W	0.999999963	1
YLR438W	0.999998353	1
YLR447C	0.999999963	1
YLR450W	0.999998335	1
YML004C	0.999998922	1
YML008C	0.999998347	1
YML022W	0.999998451	1
YML035C	0.999999963	1
YML042W	1.012407782	1
YML054C	0.999999821	1
YML056C	0.999999592	1
YML059C	0.999998959	1
YML070W	0.999999821	1
YML075C	1.000000042	1
YML081C-A	0.999934327	1
YML086C	1.000000433	1
YML100W	0.999999963	1
YML106W	0.999998248	1
YML110C	1.000000433	1
YML120C	0.999900787	1
YML123C	1	1
YML126C	0	0
YMR006C	0.999998488	1
YMR008C	0.999998451	1
YMR009W	0.999998451	1
YMR011W	1	1
YMR013C	0.999998488	1
YMR015C	0.999998922	1
YMR020W	0.999999963	1
YMR041C	1.000000433	1
YMR054W	0.999999859	1
YMR056C	1	1
YMR062C	0	0
YMR083W	0.999999864	1
YMR088C	1	1
YMR101C	0.99999831	1
YMR105C	0.999999954	1
YMR108W	0	0
YMR113W	1.000000127	1
YMR120C	0.999998811	1
YMR145C	0.999999963	1
YMR165C	0.999998451	1
YMR169C	0.999999827	1
YMR170C	0.999998922	1
YMR189W	0.999952947	1
YMR202W	0.999999821	1
YMR205C	0.774513721	1
YMR207C	0.999999773	1
YMR208W	0	0
YMR217W	0	0
YMR220W	0	0
YMR226C	0.999999963	1
YMR241W	0.999998451	1
YMR246W	0.999998915	1
YMR250W	0.999999963	1
YMR256C	0.472400617	1
YMR261C	0.999999329	1
YMR267W	0.999998451	1
YMR271C	0.999998805	1
YMR272C	0.999999859	1
YMR278W	0.999999963	1
YMR281W	1.00000047	1
YMR289W	0.999999859	1
YMR293C	1	1
YMR296C	0.999999963	1
YMR298W	0.999998451	1
YMR300C	0	0
YMR303C	0.999999859	1
YMR313C	0.999998451	1
YMR318C	0.999999963	1
YMR319C	1.000000433	1
YNL003C	0.999999773	1
YNL009W	0.999999821	1
YNL029C	1	1
YNL037C	0.999999963	1
YNL045W	0.999999963	1
YNL071W	1.000965857	1
YNL073W	0.999998488	1
YNL101W	1	1
YNL104C	0.999647739	1
YNL106C	0.999999963	1
YNL117W	0.999998347	1
YNL129W	1	1
YNL130C	0.999998451	1
YNL141W	0.999999859	1
YNL142W	1	1
YNL169C	0.99211147	1
YNL192W	0.999998922	1
YNL202W	1.00429067	1
YNL220W	0	0
YNL241C	0.705560964	1
YNL247W	0	0
YNL256W	1.00000047	1
YNL267W	0.999999859	1
YNL268W	1	1
YNL270C	1	1
YNL277W	0.999999968	1
YNL280C	0	0
YNL292W	0.999998347	1
YNL316C	0	0
YNL318C	1	1
YNL325C	0.999998922	1
YNR001C	0.999999291	1
YNR008W	0.999999859	1
YNR012W	0.999999859	1
YNR013C	1	1
YNR016C	0	0
YNR019W	0.999999963	1
YNR033W	0.999999859	1
YNR041C	1.000000433	1
YNR043W	0	0
YNR050C	0	0
YNR056C	0.999998347	1
YNR057C	0.999998347	1
YNR058W	0.999998451	1
YNR067C	1	1
YNR072W	1	1
YOL011W	0.999999859	1
YOL020W	1	1
YOL033W	0.999998488	1
YOL049W	0.999998451	1
YOL052C	0.999999963	1
YOL055C	0.999998451	1
YOL058W	0	0
YOL059W	0.999999963	1
YOL061W	1.000000433	1
YOL064C	0.992433417	1
YOL065C	0.999999859	1
YOL066C	0	0
YOL068C	1	1
YOL086C	1.003265076	1
YOL096C	1.000000433	1
YOL097C	0	0
YOL103W	1	1
YOL126C	0.991284428	1
YOL136C	0.999998922	1
YOL140W	0	0
YOL143C	0	0
YOL151W	1.004215908	1
YOL156W	1	1
YOR011W	1	1
YOR025W	1	1
YOR040W	0.999998488	1
YOR054C	0.999999859	1
YOR065W	0.479999201	1
YOR071C	1	1
YOR074C	0	0
YOR081C	1.004220205	1
YOR095C	0	0
YOR099W	1	1
YOR100C	0.999998451	1
YOR108W	1.000176923	1
YOR109W	0.999998347	1
YOR120W	0.999999669	1
YOR125C	1.000000433	1
YOR126C	0.999998451	1
YOR128C	0	0
YOR130C	0	0
YOR136W	0.999999963	1
YOR142W	0.999999821	1
YOR143C	0.999998488	1
YOR155C	0.999998451	1
YOR163W	1.000000844	1
YOR168W	0	0
YOR171C	0.999998347	1
YOR175C	0.857910263	1
YOR176W	0	0
YOR180C	0.999999821	1
YOR184W	0.981297328	1
YOR190W	1	1
YOR192C	1	1
YOR202W	0	0
YOR209C	0.999998451	1
YOR221C	0.999998959	1
YOR222W	1	1
YOR236W	0	0
YOR241W	0.999999669	1
YOR245C	0.999998451	1
YOR270C	1.00000047	1
YOR273C	1	1
YOR278W	0	0
YOR303W	0	0
YOR311C	1.00000047	1
YOR317W	0.999999859	1
YOR321W	1.000000433	1
YOR323C	0.998319791	1
YOR332W	0.999999963	1
YOR335C	0	0
YOR347C	0.999998458	1
YOR348C	1	1
YOR360C	0.999998922	1
YOR374W	0.999998347	1
YOR375C	0.999986139	1
YOR377W	0.999998451	1
YOR388C	0.999998922	1
YPL015C	1	1
YPL023C	1.004216226	1
YPL028W	0.995948461	1
YPL036W	1.004290932	1
YPL040C	0.999998488	1
YPL053C	1	1
YPL057C	0.999998347	1
YPL059W	0.999998922	1
YPL061W	1.01874565	1
YPL069C	0.999999821	1
YPL078C	0.999934327	1
YPL087W	1.004223446	1
YPL091W	0.999999963	1
YPL092W	0.999998488	1
YPL097W	0.999998488	1
YPL104W	0.999998488	1
YPL110C	0.999998451	1
YPL111W	0.999998775	1
YPL117C	0	0
YPL134C	1	1
YPL147W	1.004176526	1
YPL148C	0.999999963	1
YPL160W	0	0
YPL172C	0	0
YPL188W	1.000000433	1
YPL189W	1	1
YPL206C	0.999999859	1
YPL212C	0.999999963	1
